ID    Group   Filename                       Energy (eV/atom)    
--------------------------------------------------------------
1     1       0_POSCAR_mattersim_opt         0.506914            
2     1       1_12_POSCAR_mattersim_opt      0.445387            
3     1       1_1_POSCAR_mattersim_opt       0.468344            
4     1       1_24_POSCAR_mattersim_opt      0.485596            
5     1       1_26_POSCAR_mattersim_opt      0.688430            
6     1       1_29_POSCAR_mattersim_opt      0.294183            
7     1       1_35_POSCAR_mattersim_opt      1.133466            
8     1       1_39_POSCAR_mattersim_opt      0.294293            
9     1       1_3_POSCAR_mattersim_opt       0.437886            
10    1       1_46_POSCAR_mattersim_opt      0.003740            
11    1       1_47_POSCAR_mattersim_opt      0.291936            
12    1       1_63_POSCAR_mattersim_opt      0.706138            
13    1       1_67_POSCAR_mattersim_opt      0.623494            
14    1       1_72_POSCAR_mattersim_opt      0.294387            
15    1       1_83_POSCAR_mattersim_opt      0.233286            
16    1       1_84_POSCAR_mattersim_opt      0.583340            
17    1       1_88_POSCAR_mattersim_opt      0.292136            
18    1       1_92_POSCAR_mattersim_opt      0.233328            
19    1       1_96_POSCAR_mattersim_opt      0.358892            
20    1       1_99_POSCAR_mattersim_opt      0.688433            
21    2       2_10_POSCAR_mattersim_opt      0.382275            
22    2       2_23_POSCAR_mattersim_opt      0.760444            
23    2       2_40_POSCAR_mattersim_opt      0.292287            
24    2       2_42_POSCAR_mattersim_opt      0.003766            
25    2       2_47_POSCAR_mattersim_opt      0.353633            
26    2       2_48_POSCAR_mattersim_opt      0.382387            
27    2       2_51_POSCAR_mattersim_opt      0.347664            
28    2       2_57_POSCAR_mattersim_opt      0.355110            
29    2       2_60_POSCAR_mattersim_opt      0.491577            
30    2       2_67_POSCAR_mattersim_opt      0.377700            
31    2       2_71_POSCAR_mattersim_opt      0.417981            
32    2       2_76_POSCAR_mattersim_opt      0.305097            
33    2       2_7_POSCAR_mattersim_opt       0.364966            
34    2       2_88_POSCAR_mattersim_opt      0.240218            
35    2       2_89_POSCAR_mattersim_opt      0.315689            
36    2       2_93_POSCAR_mattersim_opt      0.104673            
37    2       2_94_POSCAR_mattersim_opt      0.308356            
38    2       2_9_POSCAR_mattersim_opt       0.317244            
39    2       3_0_POSCAR_mattersim_opt       0.345962            
40    2       3_11_POSCAR_mattersim_opt      0.741944            
41    3       3_13_POSCAR_mattersim_opt      0.294214            
42    3       3_16_POSCAR_mattersim_opt      0.336585            
43    3       3_21_POSCAR_mattersim_opt      0.423001            
44    3       3_22_POSCAR_mattersim_opt      0.294392            
45    3       3_23_POSCAR_mattersim_opt      0.288247            
46    3       3_25_POSCAR_mattersim_opt      0.292292            
47    3       3_27_POSCAR_mattersim_opt      0.495692            
48    3       3_32_POSCAR_mattersim_opt      0.412194            
49    3       3_38_POSCAR_mattersim_opt      0.294421            
50    3       3_46_POSCAR_mattersim_opt      0.862027            
51    3       3_48_POSCAR_mattersim_opt      0.301239            
52    3       3_49_POSCAR_mattersim_opt      0.336603            
53    3       3_64_POSCAR_mattersim_opt      0.363295            
54    3       3_6_POSCAR_mattersim_opt       0.376564            
55    3       3_70_POSCAR_mattersim_opt      0.140841            
56    3       3_7_POSCAR_mattersim_opt       0.581929            
57    3       3_83_POSCAR_mattersim_opt      0.463241            
58    3       4_11_POSCAR_mattersim_opt      0.516039            
59    3       4_22_POSCAR_mattersim_opt      0.348292            
60    3       4_30_POSCAR_mattersim_opt      0.405841            
61    1       4_31_POSCAR_mattersim_opt      0.560047            
62    1       4_37_POSCAR_mattersim_opt      0.286386            
63    1       4_40_POSCAR_mattersim_opt      0.294240            
64    1       4_43_POSCAR_mattersim_opt      0.476566            
65    1       4_45_POSCAR_mattersim_opt      0.456652            
66    1       4_5_POSCAR_mattersim_opt       0.742160            
67    1       4_60_POSCAR_mattersim_opt      0.294402            
68    1       4_63_POSCAR_mattersim_opt      0.322508            
69    1       4_66_POSCAR_mattersim_opt      0.299993            
70    1       4_74_POSCAR_mattersim_opt      0.367242            
71    1       4_75_POSCAR_mattersim_opt      0.294216            
72    1       4_77_POSCAR_mattersim_opt      0.312317            
73    1       4_79_POSCAR_mattersim_opt      0.786971            
74    1       4_87_POSCAR_mattersim_opt      0.288291            
75    1       4_92_POSCAR_mattersim_opt      0.371414            
76    1       4_96_POSCAR_mattersim_opt      0.274269            
77    1       4_9_POSCAR_mattersim_opt       0.390615            
