ID    Group   Filename                       Energy (eV/atom)    
--------------------------------------------------------------
1     1       1_0_POSCAR_mattersim_opt       0.349034            
2     1       1_10_POSCAR_mattersim_opt      0.292249            
3     1       1_11_POSCAR_mattersim_opt      0.421118            
4     1       1_12_POSCAR_mattersim_opt      0.292150            
5     1       1_13_POSCAR_mattersim_opt      0.357526            
6     1       1_14_POSCAR_mattersim_opt      0.320981            
7     1       1_15_POSCAR_mattersim_opt      1.054063            
8     1       1_16_POSCAR_mattersim_opt      0.460281            
9     1       1_17_POSCAR_mattersim_opt      0.203607            
10    1       1_18_POSCAR_mattersim_opt      0.893492            
11    1       1_19_POSCAR_mattersim_opt      0.409352            
12    1       1_1_POSCAR_mattersim_opt       0.279688            
13    1       1_2_POSCAR_mattersim_opt       0.358203            
14    1       1_3_POSCAR_mattersim_opt       0.506942            
15    1       1_4_POSCAR_mattersim_opt       0.309352            
16    1       1_5_POSCAR_mattersim_opt       0.250803            
17    1       1_6_POSCAR_mattersim_opt       0.468091            
18    1       1_7_POSCAR_mattersim_opt       0.323944            
19    1       1_8_POSCAR_mattersim_opt       0.537428            
20    1       1_9_POSCAR_mattersim_opt       0.302495            
21    2       2_10_POSCAR_mattersim_opt      0.262427            
22    2       2_14_POSCAR_mattersim_opt      0.634278            
23    2       2_20_POSCAR_mattersim_opt      0.292292            
24    2       2_21_POSCAR_mattersim_opt      0.294366            
25    2       2_29_POSCAR_mattersim_opt      -0.004457           
26    2       2_34_POSCAR_mattersim_opt      0.378000            
27    2       2_37_POSCAR_mattersim_opt      0.385319            
28    2       2_42_POSCAR_mattersim_opt      0.292291            
29    2       2_51_POSCAR_mattersim_opt      0.331530            
30    2       2_54_POSCAR_mattersim_opt      0.482413            
31    2       2_58_POSCAR_mattersim_opt      0.359448            
32    2       2_63_POSCAR_mattersim_opt      0.288234            
33    2       2_67_POSCAR_mattersim_opt      0.269020            
34    2       2_69_POSCAR_mattersim_opt      0.378876            
35    2       2_71_POSCAR_mattersim_opt      0.255374            
36    2       2_75_POSCAR_mattersim_opt      0.279469            
37    2       2_85_POSCAR_mattersim_opt      0.338081            
38    2       2_89_POSCAR_mattersim_opt      0.325307            
39    2       2_8_POSCAR_mattersim_opt       0.330102            
40    2       2_9_POSCAR_mattersim_opt       0.364617            
41    3       3_10_POSCAR_mattersim_opt      0.367199            
42    3       3_20_POSCAR_mattersim_opt      0.283677            
43    3       3_23_POSCAR_mattersim_opt      0.294061            
44    3       3_27_POSCAR_mattersim_opt      0.300738            
45    3       3_35_POSCAR_mattersim_opt      0.292193            
46    3       3_44_POSCAR_mattersim_opt      0.294404            
47    3       3_45_POSCAR_mattersim_opt      0.252777            
48    3       3_46_POSCAR_mattersim_opt      0.485621            
49    3       3_49_POSCAR_mattersim_opt      0.218315            
50    3       3_51_POSCAR_mattersim_opt      0.292287            
51    3       3_53_POSCAR_mattersim_opt      0.376380            
52    3       3_5_POSCAR_mattersim_opt       0.324952            
53    3       3_67_POSCAR_mattersim_opt      0.506919            
54    3       3_70_POSCAR_mattersim_opt      0.292287            
55    3       3_71_POSCAR_mattersim_opt      0.328206            
56    3       3_73_POSCAR_mattersim_opt      0.376028            
57    3       3_77_POSCAR_mattersim_opt      0.349143            
58    3       3_79_POSCAR_mattersim_opt      0.288198            
59    3       3_89_POSCAR_mattersim_opt      0.413720            
60    3       3_96_POSCAR_mattersim_opt      0.282286            
61    1       4_14_POSCAR_mattersim_opt      0.394312            
62    1       4_3_POSCAR_mattersim_opt       0.433926            
63    1       4_41_POSCAR_mattersim_opt      0.293159            
64    1       4_45_POSCAR_mattersim_opt      0.279288            
65    1       4_48_POSCAR_mattersim_opt      0.292292            
66    1       4_53_POSCAR_mattersim_opt      0.332419            
67    1       4_55_POSCAR_mattersim_opt      0.599277            
68    1       4_62_POSCAR_mattersim_opt      0.288255            
69    1       4_64_POSCAR_mattersim_opt      0.568307            
70    1       4_78_POSCAR_mattersim_opt      0.327964            
71    1       4_82_POSCAR_mattersim_opt      0.294232            
72    1       4_84_POSCAR_mattersim_opt      0.351401            
73    1       4_85_POSCAR_mattersim_opt      0.358239            
74    1       4_86_POSCAR_mattersim_opt      0.451095            
75    1       4_87_POSCAR_mattersim_opt      0.421904            
76    1       4_88_POSCAR_mattersim_opt      0.294432            
77    1       4_89_POSCAR_mattersim_opt      0.394174            
78    1       4_90_POSCAR_mattersim_opt      0.330002            
79    1       4_93_POSCAR_mattersim_opt      0.351797            
80    1       4_97_POSCAR_mattersim_opt      0.233885            
