ID    Group   Filename                       Energy (eV/atom)     Similarity          
---------------------------------------------------------------------------------------
1     1       1_0_POSCAR_mattersim_opt       0.349034             0.985587            
2     1       1_10_POSCAR_mattersim_opt      0.292249             0.984662            
3     1       1_11_POSCAR_mattersim_opt      0.421118             0.995624            
4     1       1_12_POSCAR_mattersim_opt      0.292150             0.991091            
5     1       1_13_POSCAR_mattersim_opt      0.357526             0.996846            
6     1       1_14_POSCAR_mattersim_opt      0.320981             0.997344            
7     1       1_15_POSCAR_mattersim_opt      1.054063             0.960175            
8     1       1_16_POSCAR_mattersim_opt      0.460281             0.996403            
9     1       1_17_POSCAR_mattersim_opt      0.203607             0.995503            
10    1       1_18_POSCAR_mattersim_opt      0.893492             0.942345            
11    1       1_19_POSCAR_mattersim_opt      0.409352             0.991784            
12    1       1_1_POSCAR_mattersim_opt       0.279688             0.995028            
13    1       1_2_POSCAR_mattersim_opt       0.358203             0.989932            
14    1       1_3_POSCAR_mattersim_opt       0.506942             0.981920            
15    1       1_4_POSCAR_mattersim_opt       0.309352             0.993132            
16    1       1_5_POSCAR_mattersim_opt       0.250803             0.998092            
17    1       1_6_POSCAR_mattersim_opt       0.468091             0.992828            
18    1       1_7_POSCAR_mattersim_opt       0.323944             0.997934            
19    1       1_8_POSCAR_mattersim_opt       0.537428             0.987268            
20    1       1_9_POSCAR_mattersim_opt       0.302495             0.996870            
21    2       2_10_POSCAR_mattersim_opt      0.262427             0.994367            
22    2       2_14_POSCAR_mattersim_opt      0.634278             0.995029            
23    2       2_20_POSCAR_mattersim_opt      0.292292             0.984621            
24    2       2_21_POSCAR_mattersim_opt      0.294366             0.990223            
25    2       2_29_POSCAR_mattersim_opt      -0.004457            0.999972            
26    2       2_34_POSCAR_mattersim_opt      0.378000             0.989926            
27    2       2_37_POSCAR_mattersim_opt      0.385319             0.995010            
28    2       2_42_POSCAR_mattersim_opt      0.292291             0.984650            
29    2       2_51_POSCAR_mattersim_opt      0.331530             0.991597            
30    2       2_54_POSCAR_mattersim_opt      0.482413             0.992553            
31    2       2_58_POSCAR_mattersim_opt      0.359448             0.996287            
32    2       2_63_POSCAR_mattersim_opt      0.288234             0.985489            
33    2       2_67_POSCAR_mattersim_opt      0.269020             0.996718            
34    2       2_69_POSCAR_mattersim_opt      0.378876             0.988061            
35    2       2_71_POSCAR_mattersim_opt      0.255374             0.997867            
36    2       2_75_POSCAR_mattersim_opt      0.279469             0.995007            
37    2       2_85_POSCAR_mattersim_opt      0.338081             0.997901            
38    2       2_89_POSCAR_mattersim_opt      0.325307             0.995837            
39    2       2_8_POSCAR_mattersim_opt       0.330102             0.989181            
40    2       2_9_POSCAR_mattersim_opt       0.364617             0.989481            
41    3       3_10_POSCAR_mattersim_opt      0.367199             0.989960            
42    3       3_20_POSCAR_mattersim_opt      0.283677             0.997912            
43    3       3_23_POSCAR_mattersim_opt      0.294061             0.990159            
44    3       3_27_POSCAR_mattersim_opt      0.300738             0.987731            
45    3       3_35_POSCAR_mattersim_opt      0.292193             0.984692            
46    3       3_44_POSCAR_mattersim_opt      0.294404             0.990230            
47    3       3_45_POSCAR_mattersim_opt      0.252777             0.997921            
48    3       3_46_POSCAR_mattersim_opt      0.485621             0.980140            
49    3       3_49_POSCAR_mattersim_opt      0.218315             0.999027            
50    3       3_51_POSCAR_mattersim_opt      0.292287             0.984635            
51    3       3_53_POSCAR_mattersim_opt      0.376380             0.982539            
52    3       3_5_POSCAR_mattersim_opt       0.324952             0.997490            
53    3       3_67_POSCAR_mattersim_opt      0.506919             0.981860            
54    3       3_70_POSCAR_mattersim_opt      0.292287             0.984627            
55    3       3_71_POSCAR_mattersim_opt      0.328206             0.988131            
56    3       3_73_POSCAR_mattersim_opt      0.376028             0.990085            
57    3       3_77_POSCAR_mattersim_opt      0.349143             0.997991            
58    3       3_79_POSCAR_mattersim_opt      0.288198             0.985523            
59    3       3_89_POSCAR_mattersim_opt      0.413720             0.993701            
60    3       3_96_POSCAR_mattersim_opt      0.282286             0.998181            
61    1       4_14_POSCAR_mattersim_opt      0.394312             0.992309            
62    1       4_3_POSCAR_mattersim_opt       0.433926             0.993053            
63    1       4_41_POSCAR_mattersim_opt      0.293159             0.998288            
64    1       4_45_POSCAR_mattersim_opt      0.279288             0.994734            
65    1       4_48_POSCAR_mattersim_opt      0.292292             0.984600            
66    1       4_53_POSCAR_mattersim_opt      0.332419             0.998343            
67    1       4_55_POSCAR_mattersim_opt      0.599277             0.997941            
68    1       4_62_POSCAR_mattersim_opt      0.288255             0.985513            
69    1       4_64_POSCAR_mattersim_opt      0.568307             0.992001            
70    1       4_78_POSCAR_mattersim_opt      0.327964             0.988150            
71    1       4_82_POSCAR_mattersim_opt      0.294232             0.990194            
72    1       4_84_POSCAR_mattersim_opt      0.351401             0.986043            
73    1       4_85_POSCAR_mattersim_opt      0.358239             0.989952            
74    1       4_86_POSCAR_mattersim_opt      0.451095             0.985765            
75    1       4_87_POSCAR_mattersim_opt      0.421904             0.988693            
76    1       4_88_POSCAR_mattersim_opt      0.294432             0.990235            
77    1       4_89_POSCAR_mattersim_opt      0.394174             0.986825            
78    1       4_90_POSCAR_mattersim_opt      0.330002             0.987405            
79    1       4_93_POSCAR_mattersim_opt      0.351797             0.992785            
80    1       4_97_POSCAR_mattersim_opt      0.233885             0.997996            
