ID    Group   Filename                       Energy (eV/atom)    
--------------------------------------------------------------
1     1       0_POSCAR                       11.327368           
2     1       10_POSCAR                      5.282827            
3     1       11_POSCAR                      6.484447            
4     1       12_POSCAR                      1.165594            
5     1       13_POSCAR                      5.523205            
6     1       14_POSCAR                      15.291338           
7     1       15_POSCAR                      38.721325           
8     1       16_POSCAR                      11.417575           
9     1       17_POSCAR                      34.371933           
10    1       18_POSCAR                      4.770576            
11    1       19_POSCAR                      3.401637            
12    1       1_POSCAR                       17.537604           
13    1       20_POSCAR                      6.155752            
14    1       21_POSCAR                      5.924024            
15    1       22_POSCAR                      1.876999            
16    1       23_POSCAR                      7.110187            
17    1       24_POSCAR                      7.628694            
18    1       25_POSCAR                      3.308183            
19    1       26_POSCAR                      2.694496            
20    1       27_POSCAR                      6.192680            
21    2       28_POSCAR                      3.479306            
22    2       29_POSCAR                      4.651776            
23    2       2_POSCAR                       2.993454            
24    2       30_POSCAR                      1.631474            
25    2       31_POSCAR                      16.134859           
26    2       32_POSCAR                      9.230525            
27    2       33_POSCAR                      14.946422           
28    2       34_POSCAR                      6.952363            
29    2       35_POSCAR                      32.227244           
30    2       36_POSCAR                      1.735781            
31    2       37_POSCAR                      2.650135            
32    2       38_POSCAR                      1.543718            
33    2       39_POSCAR                      21.697910           
34    2       3_POSCAR                       18.024687           
35    2       40_POSCAR                      3.562128            
36    2       41_POSCAR                      4.129586            
37    2       42_POSCAR                      4.046639            
38    2       43_POSCAR                      11.363682           
39    2       44_POSCAR                      2.248923            
40    2       45_POSCAR                      6.410917            
41    3       46_POSCAR                      10.187500           
42    3       47_POSCAR                      6.875774            
43    3       48_POSCAR                      3.503040            
44    3       49_POSCAR                      2.655986            
45    3       4_POSCAR                       16.337532           
46    3       50_POSCAR                      1.621880            
47    3       51_POSCAR                      1.023999            
48    3       52_POSCAR                      2.038607            
49    3       53_POSCAR                      0.717197            
50    3       54_POSCAR                      2.431843            
51    3       55_POSCAR                      2.200029            
52    3       56_POSCAR                      0.293447            
53    3       57_POSCAR                      1.235521            
54    3       58_POSCAR                      18.425927           
55    3       59_POSCAR                      0.346555            
56    3       5_POSCAR                       0.588724            
57    3       6_POSCAR                       4.347175            
58    3       7_POSCAR                       0.536175            
59    3       8_POSCAR                       8.203500            
60    3       9_POSCAR                       13.152000           
