ID    Group   Filename                       Energy (eV/atom)    
--------------------------------------------------------------
1     1       0_POSCAR_mattersim_opt         0.197844            
2     1       10_POSCAR_mattersim_opt        0.343805            
3     1       11_POSCAR_mattersim_opt        0.478305            
4     1       12_POSCAR_mattersim_opt        0.737797            
5     1       13_POSCAR_mattersim_opt        0.003787            
6     1       14_POSCAR_mattersim_opt        0.548606            
7     1       15_POSCAR_mattersim_opt        0.402358            
8     1       16_POSCAR_mattersim_opt        0.485596            
9     1       17_POSCAR_mattersim_opt        0.403387            
10    1       18_POSCAR_mattersim_opt        0.317786            
11    1       19_POSCAR_mattersim_opt        0.418364            
12    1       1_POSCAR_mattersim_opt         0.312792            
13    1       20_POSCAR_mattersim_opt        0.442015            
14    1       21_POSCAR_mattersim_opt        0.604685            
15    1       22_POSCAR_mattersim_opt        0.359608            
16    1       23_POSCAR_mattersim_opt        0.288929            
17    1       24_POSCAR_mattersim_opt        0.336383            
18    1       25_POSCAR_mattersim_opt        0.294064            
19    1       26_POSCAR_mattersim_opt        0.661115            
20    1       27_POSCAR_mattersim_opt        0.742006            
21    1       28_POSCAR_mattersim_opt        0.107886            
22    1       29_POSCAR_mattersim_opt        0.689692            
23    1       2_POSCAR_mattersim_opt         0.423938            
24    1       30_POSCAR_mattersim_opt        0.386015            
25    1       31_POSCAR_mattersim_opt        0.378336            
26    1       32_POSCAR_mattersim_opt        0.269316            
27    1       33_POSCAR_mattersim_opt        0.269524            
28    1       34_POSCAR_mattersim_opt        0.835427            
29    1       35_POSCAR_mattersim_opt        0.411952            
30    1       36_POSCAR_mattersim_opt        0.213317            
31    1       37_POSCAR_mattersim_opt        0.299508            
32    1       38_POSCAR_mattersim_opt        0.320146            
33    1       39_POSCAR_mattersim_opt        0.351270            
34    1       3_POSCAR_mattersim_opt         0.506933            
35    1       40_POSCAR_mattersim_opt        0.349156            
36    1       41_POSCAR_mattersim_opt        0.257595            
37    1       42_POSCAR_mattersim_opt        0.286890            
38    1       43_POSCAR_mattersim_opt        0.293969            
39    1       44_POSCAR_mattersim_opt        0.237617            
40    1       45_POSCAR_mattersim_opt        0.379561            
41    1       46_POSCAR_mattersim_opt        0.583442            
42    1       47_POSCAR_mattersim_opt        0.376273            
43    1       48_POSCAR_mattersim_opt        0.331460            
44    1       49_POSCAR_mattersim_opt        0.604814            
45    1       4_POSCAR_mattersim_opt         0.376419            
46    1       50_POSCAR_mattersim_opt        0.617049            
47    1       51_POSCAR_mattersim_opt        0.760376            
48    1       52_POSCAR_mattersim_opt        0.155069            
49    1       53_POSCAR_mattersim_opt        0.294799            
50    1       54_POSCAR_mattersim_opt        0.264611            
51    1       55_POSCAR_mattersim_opt        0.390693            
52    1       56_POSCAR_mattersim_opt        0.638043            
53    1       57_POSCAR_mattersim_opt        0.433346            
54    1       58_POSCAR_mattersim_opt        1.103380            
55    1       59_POSCAR_mattersim_opt        0.485585            
56    1       5_POSCAR_mattersim_opt         0.234995            
57    1       60_POSCAR_mattersim_opt        0.118811            
58    1       61_POSCAR_mattersim_opt        0.337599            
59    1       62_POSCAR_mattersim_opt        0.289112            
60    1       63_POSCAR_mattersim_opt        0.391441            
61    1       64_POSCAR_mattersim_opt        0.345107            
62    1       65_POSCAR_mattersim_opt        0.451022            
63    1       66_POSCAR_mattersim_opt        0.646796            
64    1       67_POSCAR_mattersim_opt        0.690416            
65    1       68_POSCAR_mattersim_opt        0.322520            
66    1       69_POSCAR_mattersim_opt        0.346774            
67    1       6_POSCAR_mattersim_opt         0.430408            
68    1       70_POSCAR_mattersim_opt        0.297850            
69    1       71_POSCAR_mattersim_opt        1.124213            
70    1       72_POSCAR_mattersim_opt        0.146506            
71    1       73_POSCAR_mattersim_opt        0.345228            
72    1       74_POSCAR_mattersim_opt        0.359139            
73    1       75_POSCAR_mattersim_opt        0.003779            
74    1       76_POSCAR_mattersim_opt        0.318249            
75    1       77_POSCAR_mattersim_opt        1.524947            
76    1       78_POSCAR_mattersim_opt        0.286136            
77    1       79_POSCAR_mattersim_opt        0.288211            
78    1       7_POSCAR_mattersim_opt         0.386381            
79    1       80_POSCAR_mattersim_opt        0.299581            
80    1       81_POSCAR_mattersim_opt        0.965557            
81    1       82_POSCAR_mattersim_opt        0.430798            
82    1       83_POSCAR_mattersim_opt        0.290487            
83    1       84_POSCAR_mattersim_opt        0.810724            
84    1       85_POSCAR_mattersim_opt        0.253060            
85    1       86_POSCAR_mattersim_opt        1.755286            
86    1       87_POSCAR_mattersim_opt        0.537341            
87    1       88_POSCAR_mattersim_opt        0.476681            
88    1       89_POSCAR_mattersim_opt        0.292296            
89    1       8_POSCAR_mattersim_opt         0.292292            
90    1       90_POSCAR_mattersim_opt        0.132499            
91    1       91_POSCAR_mattersim_opt        0.317975            
92    1       92_POSCAR_mattersim_opt        0.292296            
93    1       93_POSCAR_mattersim_opt        0.616464            
94    1       94_POSCAR_mattersim_opt        0.314762            
95    1       95_POSCAR_mattersim_opt        0.452269            
96    1       96_POSCAR_mattersim_opt        0.366141            
97    1       97_POSCAR_mattersim_opt        0.232562            
98    1       98_POSCAR_mattersim_opt        0.450121            
99    1       99_POSCAR_mattersim_opt        0.321613            
100   1       9_POSCAR_mattersim_opt         0.213535            
