      Step     Time          Energy          fmax
FIRE:    0 16:35:44       79.306603       20.839039
FIRE:    1 16:35:44       68.549680       12.076982
FIRE:    2 16:35:44       64.533652       11.840841
FIRE:    3 16:35:44       63.283201       11.945487
FIRE:    4 16:35:44       60.323880       11.512992
FIRE:    5 16:35:44       57.371635       11.007547
FIRE:    6 16:35:44       55.381962       10.601244
FIRE:    7 16:35:44       52.190710       10.107555
FIRE:    8 16:35:44       48.150420        9.568953
FIRE:    9 16:35:44       44.678893        9.101771
FIRE:   10 16:35:44       41.919547        8.676862
FIRE:   11 16:35:44       39.315395        8.196906
FIRE:   12 16:35:44       36.579218        7.630110
FIRE:   13 16:35:44       33.880285        7.025910
FIRE:   14 16:35:44       31.474198        6.450034
FIRE:   15 16:35:44       29.400465        5.931929
FIRE:   16 16:35:44       27.504760        5.461675
FIRE:   17 16:35:45       25.665713        5.023241
FIRE:   18 16:35:45       23.902894        4.616875
FIRE:   19 16:35:45       22.295301        4.249442
FIRE:   20 16:35:45       20.871427        3.912766
FIRE:   21 16:35:45       19.595494        3.585515
FIRE:   22 16:35:45       18.426698        3.253522
FIRE:   23 16:35:45       17.358085        2.916052
FIRE:   24 16:35:45       16.405430        2.580831
FIRE:   25 16:35:45       15.575875        2.259054
FIRE:   26 16:35:45       14.855048        1.955234
FIRE:   27 16:35:45       14.224407        1.668145
FIRE:   28 16:35:45       13.678921        1.399813
FIRE:   29 16:35:45       13.223226        1.154993
FIRE:   30 16:35:45       12.857729        0.931888
FIRE:   31 16:35:45       12.573458        0.721576
FIRE:   32 16:35:45       12.359969        0.516873
FIRE:   33 16:35:45       12.213929        0.316001
FIRE:   34 16:35:45       12.135572        0.126161
FIRE:   35 16:35:45       12.116927        0.101631
FIRE:   36 16:35:45       12.114047        0.031364
FIRE:   37 16:35:45       12.113919        0.016730
FIRE:   38 16:35:45       12.113848        0.017372
FIRE:   39 16:35:45       12.113843        0.017104
FIRE:   40 16:35:46       12.113833        0.016591
FIRE:   41 16:35:46       12.113821        0.015879
FIRE:   42 16:35:46       12.113806        0.015034
FIRE:   43 16:35:46       12.113790        0.014139
FIRE:   44 16:35:46       12.113772        0.013277
FIRE:   45 16:35:46       12.113752        0.012508
FIRE:   46 16:35:46       12.113727        0.011796
FIRE:   47 16:35:46       12.113698        0.011136
FIRE:   48 16:35:46       12.113666        0.010433
FIRE:   49 16:35:46       12.113634        0.009442
