      Step     Time          Energy          fmax
FIRE:    0 01:59:24       39.927002        3.483740
FIRE:    1 01:59:25       38.402512       18.725789
FIRE:    2 01:59:25       19.537033       65.328243
FIRE:    3 01:59:25        6.665207       28.027204
FIRE:    4 01:59:25       -5.778114       31.155489
FIRE:    5 01:59:25      -17.335724       24.573188
FIRE:    6 01:59:26      -26.112553       13.733448
FIRE:    7 01:59:26      -30.026388        5.719034
FIRE:    8 01:59:26      -31.216343        3.899063
FIRE:    9 01:59:26      -31.398430        3.835967
FIRE:   10 01:59:26      -31.745731        3.850066
FIRE:   11 01:59:26      -32.225445        3.645679
FIRE:   12 01:59:26      -32.794674        3.583270
FIRE:   13 01:59:27      -33.442070        3.200199
FIRE:   14 01:59:27      -34.108582        2.811531
FIRE:   15 01:59:27      -34.796085        2.414589
FIRE:   16 01:59:28      -35.538036        1.941770
FIRE:   17 01:59:28      -36.172699        1.187039
FIRE:   18 01:59:28      -36.550274        0.625308
FIRE:   19 01:59:28      -36.761684        0.755627
FIRE:   20 01:59:28      -36.984932        0.852198
FIRE:   21 01:59:28      -37.149250        0.456228
